user_id,category
abcdce,WeighingScales|InternalHardDrives
AECPFYFQVRUWC3KGNLJIOREFP5LQ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
AGU3BBQ2V2DDAMOAKGFAWDDQ6QHA,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
AEWAZDZZJLQUYVOVGBEUKSLXHQ5A,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
AE3Q6KSUK5P75D5HFYHCRAOLODSA,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
AEQ2YMXSZWEOHK2EHTNLOS56YTZQ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
AG7C6DAADCTRQJG2BRS3RIKDT52Q,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
AHW6E5LQ2BDYOIVLAJGDH45J5V5Q,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
AGV3IEFANZCKECFGUM42MRH5FNOA,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters
AGYLPKPZHVYKKZHOTHCTYVEDAJ4A,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
AEYJ5I6JZZPOJB6MGWRQOHRQLPSQ,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables"
AGUAYQHARAKR2VZTRP276KAGETKQ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
AF2XXVO7JUBUVAOBTJ3MNH4DGUFQ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
AGSGSRTEZBQY64WO2HKQTV7TWFSA,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
AHEVOQADJSSRX7DS325HSFLMP7VQ,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions"
AFB5KJR4Q5FICAHBOPDPUTB3O7QQ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
AHBNKB74LGTYUOKPAJBSKNFV45CA,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions"
AFNYIBWKJLJQKY4BGK77ZOTVMORA,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
AEO5FHWNOSFBT554DKQAG4ICBGFQ,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables"
AHEVO4Q5NM4YXMG2HDDXC5XMBGRQ,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions"
AHIKJUDTVJ4T6DV6IUGFYZ5LXMPA,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
AFSMISGEYDYIP3Z42UTQU4AKOYZQ,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions"
AGVUE2NFN2MQEOQ4PR525B2ZI5PQ,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables"
AFUT7ANZTZYGLXU65EQ2D5OP6UMA,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions"
AFYR53OTBUX2RNAKUZHUJ4RFJJNQ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
AHZWJCVEIEI76H2VGMUSN5D735IQ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
AFA332YHUPB6I7KMME7SOFX5RKQQ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
AGBX233C7B7D7YZEL7ZLFWMQKFDQ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
AGHYCMV7RJ5D76UEZDZJPPEUGU5Q,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
AHMKXORT3VNMB75C3EUBYMFYELFQ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
AEQWVGESA7TDGK7KZ4DAJQGYH32A,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables
